order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,price,freight_value,customer_city,customer_state,review_score
delivered,2017-11-29 09:23:50,2017-11-29 09:39:10,2017-12-04 22:26:58,278.0,19.21,contagem,MG,3.0
delivered,2017-11-13 23:15:05,2017-11-13 23:30:46,2017-11-14 16:47:47,144.99,19.25,lauro de freitas,BA,1.0
delivered,2017-11-27 16:39:32,2017-11-29 17:30:51,2017-11-30 15:19:01,185.81,17.06,sao joao da boa vista,SP,4.0
delivered,2017-11-13 14:25:10,2017-11-14 11:47:22,2017-11-21 19:58:33,120.0,49.37,niteroi,RJ,5.0
delivered,2018-03-28 02:57:59,2018-03-28 03:10:08,2018-03-28 20:03:10,27.9,7.87,sao bernardo do campo,SP,4.0
delivered,2018-06-08 15:49:27,2018-06-08 19:31:05,2018-06-11 11:18:00,203.0,23.48,sao paulo,SP,4.0
delivered,2017-01-25 15:49:39,2017-01-25 15:55:21,2017-02-03 05:57:33,119.9,18.59,rio de janeiro,RJ,5.0
delivered,2018-08-18 23:54:05,2018-08-21 04:15:19,2018-08-21 14:21:00,129.0,23.7,bento goncalves,RS,
delivered,2017-06-13 16:41:30,2017-06-15 02:45:11,2017-06-19 20:05:53,31.9,14.1,rio de janeiro,RJ,5.0
delivered,2017-09-02 10:33:40,2017-09-02 10:45:18,2017-09-06 21:10:13,89.9,17.88,encruzilhada do sul,RS,4.0
delivered,2018-01-30 20:38:58,2018-02-04 23:31:41,2018-01-31 18:14:34,149.9,15.8,cristal,RS,5.0
delivered,2018-06-28 13:24:50,2018-06-28 13:50:42,2018-06-29 16:32:00,74.0,13.84,sao paulo,SP,5.0
delivered,2018-02-21 20:16:54,2018-02-21 20:30:31,2018-02-22 20:58:59,99.0,19.93,ribeirao preto,SP,4.0
delivered,2018-03-07 15:37:22,2018-03-07 15:55:42,2018-03-08 23:25:25,59.9,9.42,campinas,SP,5.0
delivered,2018-03-25 13:42:17,2018-03-27 03:50:33,2018-03-29 18:38:42,21.99,7.39,sao paulo,SP,4.0
delivered,2018-01-02 14:44:14,2018-01-02 18:35:23,2018-01-03 21:42:47,13.7,7.78,sao paulo,SP,5.0
delivered,2018-01-24 11:10:09,2018-01-24 11:16:25,2018-01-30 01:12:47,29.99,14.1,curitiba,PR,3.0
delivered,2018-07-18 08:54:40,2018-07-18 09:05:16,2018-07-18 14:08:00,185.9,20.49,francisco beltrao,PR,4.0
canceled,2018-08-20 15:07:42,,,,,sao paulo,SP,1.0
delivered,2017-09-20 01:01:00,2017-09-20 01:15:08,2017-09-20 18:41:34,95.9,13.23,santos,SP,5.0
delivered,2017-12-28 21:43:01,2017-12-29 21:36:29,2018-01-02 22:58:25,64.9,25.29,sao paulo,SP,5.0
delivered,2018-04-30 19:54:19,2018-05-01 02:52:44,2018-05-03 06:33:00,100.0,12.61,maua,SP,5.0
delivered,2018-07-09 10:36:25,2018-07-10 09:05:25,2018-07-11 14:48:00,209.99,28.45,valparaiso de goias,GO,5.0
delivered,2017-11-24 21:43:41,2017-11-25 01:31:22,2017-11-30 19:21:36,129.9,18.16,osasco,SP,1.0
delivered,2017-10-08 11:42:33,2017-10-10 03:26:50,2017-10-11 14:13:07,139.0,48.41,fortaleza,CE,5.0
delivered,2018-07-29 15:49:12,2018-07-31 04:31:29,2018-08-03 13:33:00,498.0,60.62,curitiba,PR,5.0
delivered,2018-02-27 17:53:38,2018-02-28 17:50:37,2018-03-01 09:48:55,449.0,40.98,marilia,SP,5.0
delivered,2018-01-10 10:15:32,2018-01-11 10:09:03,2018-01-11 16:58:23,42.9,15.1,brasilia,DF,5.0
delivered,2017-07-11 19:38:14,2017-07-11 19:50:12,2017-07-13 08:36:19,59.9,11.92,sao paulo,SP,3.0
delivered,2018-02-04 18:52:56,2018-02-04 19:09:41,2018-02-09 23:51:13,18.75,9.09,curitiba,PR,5.0
delivered,2018-02-14 22:53:18,2018-02-14 23:55:32,2018-02-15 18:32:43,120.0,14.59,belo horizonte,MG,4.0
delivered,2017-07-26 11:29:35,2017-07-27 11:25:23,2017-07-27 19:26:31,69.0,12.61,pocos de caldas,MG,5.0
delivered,2018-02-21 14:02:24,2018-02-21 14:30:47,2018-02-22 18:59:16,81.0,15.33,rio de janeiro,RJ,2.0
delivered,2017-10-17 14:09:47,2017-10-17 14:32:26,2017-10-19 11:53:34,149.99,72.18,ananindeua,PA,3.0
delivered,2018-01-19 10:41:52,2018-01-20 09:07:49,2018-01-26 16:26:02,26.18,17.6,araguari,MG,4.0
delivered,2018-05-06 14:59:09,2018-05-06 15:15:13,2018-05-07 12:16:00,131.99,11.82,rio de janeiro,RJ,2.0
delivered,2018-07-20 07:59:33,2018-07-20 08:15:09,2018-07-20 13:21:00,139.0,23.91,jacarei,SP,5.0
shipped,2018-05-01 20:45:44,2018-05-03 04:12:47,2018-05-03 13:54:00,89.0,14.71,sao paulo,SP,1.0
delivered,2017-10-06 18:27:34,2017-10-06 18:35:22,2017-10-11 20:24:50,49.9,14.1,gravatai,RS,5.0
delivered,2018-03-07 12:08:37,2018-03-07 12:29:55,2018-03-08 19:58:35,219.8,10.97,mage,RJ,5.0
delivered,2017-06-08 20:16:48,2017-06-08 20:25:14,2017-06-12 17:02:58,750.5,30.09,brasilia,DF,4.0
delivered,2017-09-19 21:35:53,2017-09-20 21:30:45,2017-09-21 20:42:31,105.99,24.12,salvador,BA,5.0
delivered,2017-06-10 18:27:07,2017-06-11 18:35:09,2017-06-12 16:48:49,59.9,17.67,rio de janeiro,RJ,5.0
delivered,2017-03-14 14:56:03,2017-03-14 14:56:03,2017-03-16 09:49:45,59.9,9.41,sao paulo,SP,5.0
delivered,2018-05-14 00:58:58,2018-05-14 01:11:27,2018-05-16 06:34:00,89.9,9.51,guaratingueta,SP,1.0
delivered,2017-08-06 01:43:21,2017-08-06 01:55:07,2017-08-07 20:44:55,295.0,22.56,niteroi,RJ,5.0
delivered,2018-04-22 20:46:41,2018-04-24 18:59:48,2018-04-24 22:42:14,229.9,17.58,sao paulo,SP,5.0
delivered,2017-09-03 17:18:58,2017-09-05 04:24:39,2017-09-06 12:51:23,50.0,19.59,itiuba,BA,4.0
delivered,2018-06-14 18:07:43,2018-06-14 18:40:11,2018-06-15 13:06:00,269.99,21.45,magda,SP,5.0
delivered,2018-01-24 12:52:59,2018-01-25 02:39:20,2018-01-29 18:17:13,279.9,13.46,paraguacu paulista,SP,3.0
invoiced,2018-03-29 09:57:50,2018-03-29 10:15:12,,34.99,8.29,sorocaba,SP,1.0
delivered,2017-10-09 16:20:02,2017-10-11 03:14:46,2017-10-11 22:49:49,89.99,12.97,fartura,SP,5.0
delivered,2017-12-16 00:35:54,2017-12-18 01:31:47,2017-12-18 22:04:40,38.9,12.69,ilhabela,SP,5.0
delivered,2018-05-08 18:05:59,2018-05-08 18:31:41,2018-05-10 09:55:00,28.5,19.32,nova friburgo,RJ,4.0
delivered,2018-08-03 11:26:27,2018-08-03 11:44:07,2018-08-07 14:51:00,134.9,38.99,ibema,PR,5.0
delivered,2018-06-24 22:09:28,2018-06-26 05:37:16,2018-06-28 14:50:00,99.9,13.36,sao paulo,SP,5.0
delivered,2018-03-12 11:27:20,2018-03-12 11:49:02,2018-03-13 20:33:05,91.8,17.26,itarare,SP,5.0
delivered,2018-08-15 16:12:27,2018-08-17 03:15:27,2018-08-17 13:58:00,29.99,12.87,cravinhos,SP,5.0
delivered,2018-07-04 21:06:27,2018-07-05 16:07:29,2018-07-05 12:30:00,49.9,14.66,botucatu,SP,5.0
delivered,2018-01-26 08:19:12,2018-01-30 05:31:45,2018-01-31 22:36:58,88.34,16.25,franco da rocha,SP,5.0
delivered,2018-01-12 22:44:44,2018-01-12 23:17:29,2018-01-18 17:54:56,104.0,34.53,capim grosso,BA,5.0
delivered,2017-11-29 09:54:11,2017-11-30 13:31:21,2017-12-05 18:13:15,152.0,18.34,fortaleza,CE,5.0
delivered,2018-07-03 12:04:03,2018-07-05 16:32:43,2018-07-05 14:25:00,57.9,18.51,maringa,PR,5.0
delivered,2018-02-26 14:56:52,2018-02-28 09:56:21,2018-03-05 17:41:54,91.8,14.1,curitiba,PR,5.0
delivered,2017-10-22 20:02:47,2017-10-24 03:56:33,2017-10-24 20:00:04,368.9,27.42,mantena,MG,4.0
delivered,2018-02-28 15:19:43,2018-03-01 02:48:26,2018-03-03 00:22:45,339.0,17.12,brasilia,DF,5.0
delivered,2018-03-01 22:29:46,2018-03-01 22:49:20,2018-03-06 17:58:26,699.0,25.69,natal,RN,3.0
delivered,2017-09-05 18:21:26,2017-09-05 18:35:13,2017-09-08 16:55:56,79.6,13.37,sao paulo,SP,3.0
delivered,2018-03-02 17:11:54,2018-03-03 02:35:35,2018-03-08 18:56:40,32.0,11.73,sao paulo,SP,5.0
delivered,2017-10-24 09:53:54,2017-10-24 10:07:13,2017-10-26 21:09:58,59.9,28.82,maraba,PA,5.0
delivered,2018-05-10 14:57:43,2018-05-10 15:11:37,2018-05-11 11:41:00,35.9,11.62,sete lagoas,MG,5.0
delivered,2018-03-19 09:34:03,2018-03-20 03:35:47,2018-03-21 21:27:47,18.0,8.29,salto,SP,5.0
delivered,2017-11-30 22:34:44,2017-12-01 10:30:59,2017-12-04 20:49:34,15.0,7.78,indaiatuba,SP,5.0
delivered,2018-03-08 10:58:38,2018-03-08 11:10:42,2018-03-16 21:33:02,49.9,15.23,porto alegre,RS,5.0
delivered,2017-03-31 11:51:38,2017-04-04 06:05:31,2017-04-05 13:53:10,59.9,17.85,guapore,RS,5.0
delivered,2018-04-04 16:32:31,2018-04-05 02:28:23,2018-04-07 01:16:49,59.6,19.39,cornelio procopio,PR,4.0
delivered,2017-08-30 10:34:27,2017-08-30 10:45:17,2017-08-31 14:26:17,49.89,8.72,sao paulo,SP,5.0
delivered,2018-05-23 21:32:17,2018-05-23 21:55:45,2018-05-24 14:09:00,119.9,30.7,piracicaba,SP,5.0
delivered,2017-09-22 14:06:22,2017-09-26 04:04:46,2017-09-26 19:53:10,48.9,16.11,getulio vargas,RS,4.0
delivered,2017-11-24 17:41:00,2017-11-24 20:57:35,2017-11-28 21:36:05,49.0,13.37,sao paulo,SP,4.0
delivered,2017-11-29 10:03:32,2017-11-29 10:18:35,2017-11-29 18:14:46,49.9,14.1,vitoria,ES,5.0
delivered,2017-07-22 20:21:53,2017-07-22 20:35:17,2017-07-28 21:44:26,34.9,19.59,miracema,RJ,4.0
delivered,2018-07-05 20:06:44,2018-07-05 20:31:52,2018-07-13 14:51:00,197.43,27.68,venda nova do imigrante,ES,3.0
delivered,2017-10-13 12:32:41,2017-10-13 12:49:09,2017-10-17 17:04:43,34.9,16.79,teixeira de freitas,BA,5.0
delivered,2018-06-16 10:02:52,2018-06-16 10:17:16,2018-06-18 14:15:00,58.9,35.76,sao jose do vale do rio preto,RJ,5.0
delivered,2017-09-15 00:22:32,2017-09-16 02:55:55,2017-09-18 19:52:13,21.9,12.69,sao paulo,SP,4.0
delivered,2018-02-04 13:52:54,2018-02-04 14:10:26,2018-02-06 20:07:20,29.9,15.1,campo grande,MS,5.0
delivered,2016-10-10 11:22:36,2016-10-10 12:03:12,2016-10-21 16:35:18,79.9,16.33,guarulhos,SP,5.0
delivered,2017-11-12 22:04:15,2017-11-12 22:15:31,2017-11-17 19:38:37,17.9,11.85,nova granada,SP,4.0
delivered,2017-06-01 07:48:03,2017-06-01 08:02:38,2017-06-01 14:31:49,109.8,21.18,fortaleza,CE,5.0
delivered,2017-02-07 11:32:53,2017-02-09 02:43:17,2017-02-10 07:07:57,27.0,16.05,sao paulo,SP,4.0
delivered,2018-05-17 18:36:14,2018-05-18 00:37:30,2018-05-18 13:48:00,550.99,40.55,caxias do sul,RS,4.0
delivered,2018-05-07 21:52:03,2018-05-07 22:11:25,2018-05-14 09:30:00,18.98,14.58,londrina,PR,1.0
delivered,2017-11-24 19:33:10,2017-11-24 22:55:16,2017-12-14 15:05:05,15.9,14.1,sao paulo,SP,5.0
delivered,2018-07-11 01:56:33,2018-07-11 02:10:08,2018-07-11 13:21:00,95.0,7.93,osasco,SP,5.0
delivered,2018-07-10 18:55:39,2018-07-13 16:06:57,2018-07-11 12:26:00,299.99,32.97,colniza,MT,5.0
delivered,2017-06-08 06:44:00,2017-06-08 06:55:07,2017-06-08 15:04:18,329.99,11.12,carapicuiba,SP,5.0
delivered,2017-02-24 14:45:14,2017-02-24 15:02:19,2017-03-03 18:54:08,6.0,14.52,niteroi,RJ,5.0
delivered,2017-09-05 13:14:37,2017-09-05 13:30:15,2017-09-06 19:17:55,42.69,16.11,diadema,SP,4.0
delivered,2018-06-07 13:08:42,2018-06-07 13:38:35,2018-06-11 07:14:00,99.99,9.05,sao paulo,SP,5.0
delivered,2018-08-04 16:24:49,2018-08-04 16:44:17,2018-08-20 11:39:00,27.99,8.95,itaquaquecetuba,SP,1.0
delivered,2017-09-18 14:01:02,2017-09-18 14:10:22,2017-09-19 16:27:38,164.9,26.43,belem,PA,5.0
delivered,2018-05-18 00:35:08,2018-05-18 04:14:31,2018-06-04 16:03:00,124.9,7.74,osasco,SP,2.0
delivered,2018-05-13 11:00:51,2018-05-13 11:12:43,2018-05-14 15:15:00,58.5,18.29,dourados,MS,4.0
delivered,2017-09-03 22:14:32,2017-09-03 22:25:09,2017-09-04 16:57:13,887.0,26.7,dourados,MS,1.0
delivered,2017-12-20 16:55:58,2017-12-20 17:03:20,2017-12-22 18:47:24,17.9,11.85,sao paulo,SP,5.0
delivered,2018-01-04 15:22:28,2018-01-04 17:36:23,2018-01-10 21:25:18,189.99,18.58,barra mansa,RJ,5.0
delivered,2018-07-31 22:01:48,2018-07-31 22:40:24,2018-08-01 13:51:00,165.8,23.38,uberaba,MG,5.0
delivered,2017-05-11 09:24:29,2017-05-11 09:35:20,2017-05-11 12:12:07,69.9,17.74,pocos de caldas,MG,5.0
delivered,2018-07-05 10:30:20,2018-07-06 05:10:52,2018-07-07 09:17:00,49.9,20.99,campinas,SP,5.0
delivered,2017-06-01 18:05:01,2017-06-03 02:25:33,2017-06-05 13:21:46,38.0,16.79,prado,BA,5.0
delivered,2018-07-25 12:20:12,2018-07-25 12:30:18,2018-07-26 14:24:00,24.97,18.28,rio de janeiro,RJ,5.0
delivered,2018-03-23 13:43:42,2018-03-23 13:55:37,2018-03-26 16:46:27,139.0,23.83,divinopolis,MG,4.0
delivered,2018-01-11 18:05:35,2018-01-11 18:17:34,2018-01-12 15:34:00,109.9,40.1,uberlandia,MG,5.0
delivered,2018-02-06 10:09:22,2018-02-06 10:30:12,2018-02-19 22:04:58,139.99,28.34,rio de janeiro,RJ,1.0
delivered,2018-06-20 18:58:05,2018-06-20 19:19:00,2018-06-21 13:07:00,149.0,41.33,campo grande,MS,5.0
delivered,2017-03-07 22:46:32,2017-03-09 02:55:17,2017-03-13 09:31:18,239.99,38.08,rio de janeiro,RJ,3.0
delivered,2017-03-19 22:53:47,2017-03-19 22:53:47,2017-03-28 13:48:15,250.0,15.92,rio de janeiro,RJ,5.0
delivered,2018-04-18 13:43:52,2018-04-19 13:51:59,2018-04-23 11:48:53,179.0,19.13,goiania,GO,5.0
delivered,2018-01-22 19:22:26,2018-01-22 19:36:30,2018-01-24 00:34:56,59.99,9.74,sorocaba,SP,5.0
delivered,2018-02-17 01:22:23,2018-02-20 07:26:44,2018-02-20 23:06:21,29.99,7.78,sao paulo,SP,1.0
delivered,2017-06-05 22:38:53,2017-06-07 02:35:24,2017-06-12 14:52:53,599.0,20.93,campinas,SP,4.0
delivered,2018-05-10 16:28:48,2018-05-10 16:58:45,2018-05-11 19:00:00,264.5,10.21,guarulhos,SP,5.0
delivered,2018-02-09 00:50:48,2018-02-09 01:08:51,2018-02-09 23:49:09,24.99,16.11,alto paraiso de goias,GO,5.0
delivered,2018-07-20 19:23:21,2018-07-20 19:30:14,2018-07-23 15:17:00,119.97,47.89,itajai,SC,5.0
delivered,2017-08-27 17:31:51,2017-08-27 17:44:12,2017-08-28 20:33:52,69.99,11.73,diadema,SP,4.0
delivered,2018-06-07 13:21:36,2018-06-08 02:56:20,2018-06-08 14:40:00,258.0,18.78,sao paulo,SP,1.0
delivered,2017-11-26 21:01:19,2017-11-26 21:14:32,2017-11-30 22:49:53,84.99,20.08,aparecida de goiania,GO,4.0
delivered,2018-05-19 12:26:59,2018-05-21 08:31:03,2018-06-07 14:02:00,179.9,64.88,teresina,PI,4.0
delivered,2017-11-05 17:00:19,2017-11-05 17:11:21,2017-11-06 21:02:12,65.9,18.03,alfenas,MG,5.0
delivered,2018-08-18 10:03:37,2018-08-18 10:15:13,2018-08-23 19:02:00,110.32,8.03,sao jose dos campos,SP,4.0
delivered,2018-03-12 17:26:36,2018-03-13 17:29:32,2018-03-21 22:06:54,33.87,17.06,lauro de freitas,BA,1.0
delivered,2017-08-03 17:26:49,2017-08-03 17:43:23,2017-08-08 18:32:19,34.99,7.78,cotia,SP,4.0
delivered,2018-07-20 11:18:25,2018-07-20 11:30:16,2018-07-20 12:10:00,32.0,23.02,corumbaiba,GO,2.0
delivered,2018-06-20 20:02:11,2018-06-22 02:58:39,2018-06-22 14:53:00,57.89,11.43,sao paulo,SP,5.0
delivered,2018-08-07 18:34:26,2018-08-07 18:55:19,2018-08-09 12:53:00,14.5,17.06,salvador,BA,5.0
delivered,2017-06-14 19:49:48,2017-06-14 20:05:40,2017-06-19 20:14:51,29.9,14.1,sao paulo,SP,5.0
delivered,2017-03-27 14:04:58,2017-03-27 14:15:21,2017-03-30 16:08:45,99.0,26.43,natal,RN,1.0
delivered,2018-05-30 07:58:30,2018-06-02 03:35:14,2018-06-04 15:12:00,109.99,23.31,cariacica,ES,5.0
delivered,2018-03-04 22:23:33,2018-03-04 22:35:23,2018-03-07 21:24:59,177.7,18.743333333333336,linhares,ES,3.0
delivered,2018-06-24 18:51:01,2018-06-24 19:20:07,2018-06-25 11:48:00,80.38,8.72,americana,SP,5.0
delivered,2018-04-23 20:23:04,2018-04-25 03:15:15,2018-04-26 11:43:00,69.8,16.32,sao jose dos pinhais,PR,5.0
delivered,2017-03-03 00:14:01,2017-03-07 04:15:31,2017-03-07 09:51:26,38.9,10.96,campinas,SP,5.0
delivered,2018-07-21 21:31:01,2018-07-24 11:33:32,2018-07-25 16:21:00,59.54,14.72,jacuizinho,RS,5.0
delivered,2018-07-20 02:50:44,2018-07-21 04:05:18,2018-07-21 09:02:00,179.99,19.36,itu,SP,1.0
delivered,2017-10-03 14:32:26,2017-10-03 14:49:23,2017-10-04 20:24:57,56.99,12.74,mogi das cruzes,SP,5.0
delivered,2018-02-14 21:24:49,2018-02-14 22:00:20,2018-02-20 22:33:32,79.9,18.45,itapecerica da serra,SP,2.0
delivered,2017-12-05 07:20:28,2017-12-07 09:32:15,2017-12-12 18:42:16,149.7,15.1,curvelo,MG,1.0
delivered,2018-01-14 16:42:10,2018-01-14 16:54:46,2018-01-15 16:29:14,179.17,30.29,rondonopolis,MT,5.0
delivered,2018-06-30 12:01:58,2018-06-30 12:15:14,2018-07-03 10:53:00,48.9,13.92,bebedouro,SP,4.0
delivered,2017-12-03 18:47:28,2017-12-05 04:12:01,2017-12-08 10:45:32,96.9,17.93,rio de janeiro,RJ,5.0
delivered,2018-04-25 11:41:18,2018-04-25 11:51:58,2018-04-25 14:05:00,68.0,15.36,sao goncalo,RJ,5.0
delivered,2018-05-09 17:16:21,2018-05-09 17:36:16,2018-05-16 11:58:00,65.9,15.34,porto alegre,RS,5.0
delivered,2017-02-18 17:15:03,,2017-02-22 11:23:11,79.99,26.82,sao jose de ribamar,MA,4.0
delivered,2018-04-27 15:52:45,2018-04-28 15:51:30,2018-05-15 07:40:00,1055.4,58.14000000000001,colombo,PR,4.0
delivered,2017-10-02 21:12:48,2017-10-03 21:24:24,2017-10-05 19:15:05,362.99,11.36,sao paulo,SP,4.0
delivered,2018-07-20 04:13:54,2018-07-20 04:25:10,2018-07-24 14:46:00,59.9,9.17,campinas,SP,5.0
